wire_id,wire_rho,wire_phi
0,53,0
1,53,0.0317332591
2,53,0.0634665183
3,53,0.0951997774
4,53,0.1269330365
5,53,0.1586662956
6,53,0.1903995548
7,53,0.2221328139
8,53,0.253866073
9,53,0.2855993321
10,53,0.3173325913
11,53,0.3490658504
12,53,0.3807991095
13,53,0.4125323687
14,53,0.4442656278
15,53,0.4759988869
16,53,0.507732146
17,53,0.5394654052
18,53,0.5711986643
19,53,0.6029319234
20,53,0.6346651825
21,53,0.6663984417
22,53,0.6981317008
23,53,0.7298649599
24,53,0.7615982191
25,53,0.7933314782
26,53,0.8250647373
27,53,0.8567979964
28,53,0.8885312556
29,53,0.9202645147
30,53,0.9519977738
31,53,0.9837310329
32,53,1.0154642921
33,53,1.0471975512
34,53,1.0789308103
35,53,1.1106640695
36,53,1.1423973286
37,53,1.1741305877
38,53,1.2058638468
39,53,1.237597106
40,53,1.2693303651
41,53,1.3010636242
42,53,1.3327968833
43,53,1.3645301425
44,53,1.3962634016
45,53,1.4279966607
46,53,1.4597299199
47,53,1.491463179
48,53,1.5231964381
49,53,1.5549296972
50,53,1.5866629564
51,53,1.6183962155
52,53,1.6501294746
53,53,1.6818627337
54,53,1.7135959929
55,53,1.745329252
56,53,1.7770625111
57,53,1.8087957703
58,53,1.8405290294
59,53,1.8722622885
60,53,1.9039955476
61,53,1.9357288068
62,53,1.9674620659
63,53,1.999195325
64,53,2.0309285841
65,53,2.0626618433
66,53,2.0943951024
67,53,2.1261283615
68,53,2.1578616207
69,53,2.1895948798
70,53,2.2213281389
71,53,2.253061398
72,53,2.2847946572
73,53,2.3165279163
74,53,2.3482611754
75,53,2.3799944345
76,53,2.4117276937
77,53,2.4434609528
78,53,2.4751942119
79,53,2.5069274711
80,53,2.5386607302
81,53,2.5703939893
82,53,2.6021272484
83,53,2.6338605076
84,53,2.6655937667
85,53,2.6973270258
86,53,2.7290602849
87,53,2.7607935441
88,53,2.7925268032
89,53,2.8242600623
90,53,2.8559933215
91,53,2.8877265806
92,53,2.9194598397
93,53,2.9511930988
94,53,2.982926358
95,53,3.0146596171
96,53,3.0463928762
97,53,3.0781261353
98,53,3.1098593945
99,53,3.1415926536
100,53,3.1733259127
101,53,3.2050591718
102,53,3.236792431
103,53,3.2685256901
104,53,3.3002589492
105,53,3.3319922084
106,53,3.3637254675
107,53,3.3954587266
108,53,3.4271919857
109,53,3.4589252449
110,53,3.490658504
111,53,3.5223917631
112,53,3.5541250222
113,53,3.5858582814
114,53,3.6175915405
115,53,3.6493247996
116,53,3.6810580588
117,53,3.7127913179
118,53,3.744524577
119,53,3.7762578361
120,53,3.8079910953
121,53,3.8397243544
122,53,3.8714576135
123,53,3.9031908726
124,53,3.9349241318
125,53,3.9666573909
126,53,3.99839065
127,53,4.0301239092
128,53,4.0618571683
129,53,4.0935904274
130,53,4.1253236865
131,53,4.1570569457
132,53,4.1887902048
133,53,4.2205234639
134,53,4.252256723
135,53,4.2839899822
136,53,4.3157232413
137,53,4.3474565004
138,53,4.3791897596
139,53,4.4109230187
140,53,4.4426562778
141,53,4.4743895369
142,53,4.5061227961
143,53,4.5378560552
144,53,4.5695893143
145,53,4.6013225734
146,53,4.6330558326
147,53,4.6647890917
148,53,4.6965223508
149,53,4.72825561
150,53,4.7599888691
151,53,4.7917221282
152,53,4.8234553873
153,53,4.8551886465
154,53,4.8869219056
155,53,4.9186551647
156,53,4.9503884238
157,53,4.982121683
158,53,5.0138549421
159,53,5.0455882012
160,53,5.0773214604
161,53,5.1090547195
162,53,5.1407879786
163,53,5.1725212377
164,53,5.2042544969
165,53,5.235987756
166,53,5.2677210151
167,53,5.2994542742
168,53,5.3311875334
169,53,5.3629207925
170,53,5.3946540516
171,53,5.4263873108
172,53,5.4581205699
173,53,5.489853829
174,53,5.5215870881
175,53,5.5533203473
176,53,5.5850536064
177,53,5.6167868655
178,53,5.6485201246
179,53,5.6802533838
180,53,5.7119866429
181,53,5.743719902
182,53,5.7754531611
183,53,5.8071864203
184,53,5.8389196794
185,53,5.8706529385
186,53,5.9023861977
187,53,5.9341194568
188,53,5.9658527159
189,53,5.997585975
190,53,6.0293192342
191,53,6.0610524933
192,53,6.0927857524
193,53,6.1245190115
194,53,6.1562522707
195,53,6.1879855298
196,53,6.2197187889
197,53,6.2514520481
198,54.6,0.015867
199,54.6,0.046666928
200,54.6,0.077466856
201,54.6,0.1082667839
202,54.6,0.1390667119
203,54.6,0.1698666399
204,54.6,0.2006665679
205,54.6,0.2314664958
206,54.6,0.2622664238
207,54.6,0.2930663518
208,54.6,0.3238662798
209,54.6,0.3546662077
210,54.6,0.3854661357
211,54.6,0.4162660637
212,54.6,0.4470659917
213,54.6,0.4778659196
214,54.6,0.5086658476
215,54.6,0.5394657756
216,54.6,0.5702657036
217,54.6,0.6010656316
218,54.6,0.6318655595
219,54.6,0.6626654875
220,54.6,0.6934654155
221,54.6,0.7242653435
222,54.6,0.7550652714
223,54.6,0.7858651994
224,54.6,0.8166651274
225,54.6,0.8474650554
226,54.6,0.8782649833
227,54.6,0.9090649113
228,54.6,0.9398648393
229,54.6,0.9706647673
230,54.6,1.0014646952
231,54.6,1.0322646232
232,54.6,1.0630645512
233,54.6,1.0938644792
234,54.6,1.1246644072
235,54.6,1.1554643351
236,54.6,1.1862642631
237,54.6,1.2170641911
238,54.6,1.2478641191
239,54.6,1.278664047
240,54.6,1.309463975
241,54.6,1.340263903
242,54.6,1.371063831
243,54.6,1.4018637589
244,54.6,1.4326636869
245,54.6,1.4634636149
246,54.6,1.4942635429
247,54.6,1.5250634708
248,54.6,1.5558633988
249,54.6,1.5866633268
250,54.6,1.6174632548
251,54.6,1.6482631828
252,54.6,1.6790631107
253,54.6,1.7098630387
254,54.6,1.7406629667
255,54.6,1.7714628947
256,54.6,1.8022628226
257,54.6,1.8330627506
258,54.6,1.8638626786
259,54.6,1.8946626066
260,54.6,1.9254625345
261,54.6,1.9562624625
262,54.6,1.9870623905
263,54.6,2.0178623185
264,54.6,2.0486622464
265,54.6,2.0794621744
266,54.6,2.1102621024
267,54.6,2.1410620304
268,54.6,2.1718619584
269,54.6,2.2026618863
270,54.6,2.2334618143
271,54.6,2.2642617423
272,54.6,2.2950616703
273,54.6,2.3258615982
274,54.6,2.3566615262
275,54.6,2.3874614542
276,54.6,2.4182613822
277,54.6,2.4490613101
278,54.6,2.4798612381
279,54.6,2.5106611661
280,54.6,2.5414610941
281,54.6,2.572261022
282,54.6,2.60306095
283,54.6,2.633860878
284,54.6,2.664660806
285,54.6,2.6954607339
286,54.6,2.7262606619
287,54.6,2.7570605899
288,54.6,2.7878605179
289,54.6,2.8186604459
290,54.6,2.8494603738
291,54.6,2.8802603018
292,54.6,2.9110602298
293,54.6,2.9418601578
294,54.6,2.9726600857
295,54.6,3.0034600137
296,54.6,3.0342599417
297,54.6,3.0650598697
298,54.6,3.0958597976
299,54.6,3.1266597256
300,54.6,3.1574596536
301,54.6,3.1882595816
302,54.6,3.2190595095
303,54.6,3.2498594375
304,54.6,3.2806593655
305,54.6,3.3114592935
306,54.6,3.3422592215
307,54.6,3.3730591494
308,54.6,3.4038590774
309,54.6,3.4346590054
310,54.6,3.4654589334
311,54.6,3.4962588613
312,54.6,3.5270587893
313,54.6,3.5578587173
314,54.6,3.5886586453
315,54.6,3.6194585732
316,54.6,3.6502585012
317,54.6,3.6810584292
318,54.6,3.7118583572
319,54.6,3.7426582851
320,54.6,3.7734582131
321,54.6,3.8042581411
322,54.6,3.8350580691
323,54.6,3.8658579971
324,54.6,3.896657925
325,54.6,3.927457853
326,54.6,3.958257781
327,54.6,3.989057709
328,54.6,4.0198576369
329,54.6,4.0506575649
330,54.6,4.0814574929
331,54.6,4.1122574209
332,54.6,4.1430573488
333,54.6,4.1738572768
334,54.6,4.2046572048
335,54.6,4.2354571328
336,54.6,4.2662570607
337,54.6,4.2970569887
338,54.6,4.3278569167
339,54.6,4.3586568447
340,54.6,4.3894567726
341,54.6,4.4202567006
342,54.6,4.4510566286
343,54.6,4.4818565566
344,54.6,4.5126564846
345,54.6,4.5434564125
346,54.6,4.5742563405
347,54.6,4.6050562685
348,54.6,4.6358561965
349,54.6,4.6666561244
350,54.6,4.6974560524
351,54.6,4.7282559804
352,54.6,4.7590559084
353,54.6,4.7898558363
354,54.6,4.8206557643
355,54.6,4.8514556923
356,54.6,4.8822556203
357,54.6,4.9130555482
358,54.6,4.9438554762
359,54.6,4.9746554042
360,54.6,5.0054553322
361,54.6,5.0362552602
362,54.6,5.0670551881
363,54.6,5.0978551161
364,54.6,5.1286550441
365,54.6,5.1594549721
366,54.6,5.1902549
367,54.6,5.221054828
368,54.6,5.251854756
369,54.6,5.282654684
370,54.6,5.3134546119
371,54.6,5.3442545399
372,54.6,5.3750544679
373,54.6,5.4058543959
374,54.6,5.4366543238
375,54.6,5.4674542518
376,54.6,5.4982541798
377,54.6,5.5290541078
378,54.6,5.5598540358
379,54.6,5.5906539637
380,54.6,5.6214538917
381,54.6,5.6522538197
382,54.6,5.6830537477
383,54.6,5.7138536756
384,54.6,5.7446536036
385,54.6,5.7754535316
386,54.6,5.8062534596
387,54.6,5.8370533875
388,54.6,5.8678533155
389,54.6,5.8986532435
390,54.6,5.9294531715
391,54.6,5.9602530994
392,54.6,5.9910530274
393,54.6,6.0218529554
394,54.6,6.0526528834
395,54.6,6.0834528113
396,54.6,6.1142527393
397,54.6,6.1450526673
398,54.6,6.1758525953
399,54.6,6.2066525233
400,54.6,6.2374524512
401,54.6,6.2682523792
402,56.2,0.0154
